Date,Open,High,Low,Close,Volume,Adj Close
2014-01-14,83.49,85.56,83.09,85.33,95406500,85.33
2014-01-13,83.29,84.75,83.29,84.03,131867200,84.03
2014-01-10,85.53,85.86,82.90,83.04,165211100,83.04
2014-01-09,83.60,85.63,83.18,85.26,148788600,85.26
2014-01-08,82.94,84.25,82.69,83.80,165179900,83.80
2014-01-07,80.50,83.00,80.11,82.51,200497800,82.51
2014-01-06,79.84,80.46,79.00,80.11,93941800,80.11
2014-01-03,79.14,80.00,78.75,79.76,62601500,79.76
2014-01-02,79.35,79.69,78.46,79.12,80598700,79.12
2014-01-01,78.88,78.88,78.88,78.88,000,78.88
2013-12-31,78.82,79.05,78.40,78.88,23054100,78.88
2013-12-30,79.00,79.46,77.97,78.42,52457300,78.42
2013-12-27,78.01,79.15,77.94,78.84,50181600,78.84
2013-12-26,78.20,78.20,78.20,78.20,000,78.20
2013-12-25,78.20,78.20,78.20,78.20,000,78.20
2013-12-24,78.63,78.82,77.85,78.20,18438600,78.20
2013-12-23,77.65,78.40,77.50,78.40,65092100,78.40
2013-12-20,77.42,77.94,76.93,77.31,142613100,77.31
2013-12-19,76.72,78.05,76.72,77.50,90810800,77.50
2013-12-18,76.15,76.67,76.00,76.03,73717400,76.03
2013-12-17,76.40,77.09,76.03,76.03,84919500,76.03
2013-12-16,75.12,76.70,75.07,76.63,99974800,76.63
2013-12-13,75.89,76.63,75.09,75.39,90211700,75.39
2013-12-12,77.02,77.19,75.50,75.62,146423900,75.62
2013-12-11,77.02,78.13,76.86,77.38,102793700,77.38
2013-12-10,78.35,79.14,77.92,78.16,98582200,78.16
2013-12-09,78.49,78.91,77.89,78.20,81232600,78.20
2013-12-06,77.29,78.62,77.06,78.24,90047400,78.24
2013-12-05,76.50,77.70,76.24,77.19,107353000,77.19
2013-12-04,77.82,78.01,76.76,76.76,227150900,76.76
2013-12-03,78.84,79.28,77.91,78.00,136863100,78.00
2013-12-02,77.61,79.02,77.43,78.58,133934700,78.58
2013-11-29,77.13,78.13,76.59,77.40,120317400,77.40
2013-11-28,77.49,78.36,76.26,76.87,140387800,76.87
2013-11-27,75.26,77.45,75.05,77.27,161055600,77.27
2013-11-26,75.25,76.29,74.91,75.21,274084200,75.21
2013-11-25,75.00,75.75,74.74,75.40,76780700,75.40
2013-11-22,75.60,75.96,74.57,74.62,110032300,74.62
2013-11-21,74.82,75.79,74.64,75.46,75070200,75.46
2013-11-20,74.98,75.27,74.40,75.02,101014500,75.02
2013-11-19,75.50,75.70,74.90,75.08,78700500,75.08
2013-11-18,75.57,76.67,75.32,76.17,98704600,76.17
2013-11-15,75.93,76.59,75.20,75.38,80983400,75.38
2013-11-14,76.00,76.12,75.21,75.70,77251800,75.70
2013-11-13,75.95,75.95,74.48,74.99,111892000,74.99
2013-11-12,76.90,76.91,75.82,76.15,71950200,76.15
2013-11-11,75.57,77.02,73.59,76.77,108147400,76.77
2013-11-08,73.37,75.26,73.19,75.16,124782600,75.16
2013-11-07,74.94,75.09,73.65,73.87,138919800,73.87
2013-11-06,75.06,76.98,74.41,74.62,142853500,74.62
2013-11-05,77.32,77.32,74.43,75.16,178128000,75.16
2013-11-04,77.83,78.03,76.74,77.04,59980600,77.04
2013-11-01,77.69,77.97,76.44,77.72,130252700,77.72
2013-10-31,77.87,78.38,77.25,77.53,105497100,77.53
2013-10-30,79.30,79.30,77.30,77.67,166256700,77.67
2013-10-29,77.00,78.70,76.43,78.01,289243600,78.01
2013-10-28,81.18,81.60,79.14,79.62,158557100,79.62
2013-10-25,80.59,80.94,79.90,80.37,133346700,80.37
2013-10-24,78.37,80.12,78.22,80.12,163690100,80.12
2013-10-23,78.12,78.95,77.55,77.91,130111500,77.91
2013-10-22,76.90,78.12,76.76,78.12,119763400,78.12
2013-10-21,77.00,77.00,76.00,76.90,83023600,76.90
2013-10-18,77.22,77.80,76.28,76.50,119738700,76.50
2013-10-17,76.05,76.79,75.51,76.79,87397700,76.79
2013-10-16,76.42,77.08,75.84,76.49,108347800,76.49
2013-10-15,76.08,76.90,76.08,76.55,124202800,76.55
2013-10-14,75.47,75.66,74.83,75.66,66104200,75.66
2013-10-11,75.41,76.24,74.93,76.02,120664200,76.02
2013-10-10,73.28,75.18,47.88,74.92,119918100,74.92
2013-10-09,72.20,73.90,72.00,72.92,103904500,72.92
2013-10-08,74.30,74.32,72.52,72.52,159009400,72.52
2013-10-07,74.69,74.72,73.12,74.33,118102400,74.33
2013-10-04,74.93,75.32,74.48,74.91,95079500,74.91
2013-10-03,74.30,75.18,74.14,75.00,91596400,75.00
2013-10-02,74.73,74.98,73.68,74.46,83168300,74.46
2013-10-01,73.73,74.75,73.50,74.64,77210500,74.64
2013-09-30,73.20,73.94,73.08,73.58,112473000,73.58
2013-09-27,75.19,75.25,73.90,74.23,88396200,74.23
2013-09-26,75.71,75.71,74.71,75.00,82392600,75.00
2013-09-25,74.11,75.13,73.74,75.12,102619400,75.12
2013-09-24,74.08,75.12,73.00,74.21,145705300,74.21
2013-09-23,75.80,75.84,73.62,73.91,158237400,73.91
2013-09-20,76.19,76.65,75.00,76.25,665005100,76.25
2013-09-19,77.12,77.31,76.40,76.60,156833800,76.60
2013-09-18,75.12,77.18,74.68,76.25,222279700,76.25
2013-09-17,76.05,76.62,74.51,74.65,606130300,74.65
2013-09-16,77.70,77.80,76.26,77.36,116364500,77.36
2013-09-13,75.68,76.65,75.01,76.61,84952700,76.61
2013-09-12,76.10,76.51,75.14,75.80,130058100,75.80
2013-09-11,78.78,78.78,75.70,75.99,165853500,75.99
2013-09-10,77.17,78.76,77.10,78.00,119720900,78.00
2013-09-09,75.73,76.80,75.03,76.78,126523600,76.78
2013-09-06,74.76,75.91,74.18,75.41,105355100,75.41
2013-09-05,73.30,75.12,73.25,74.77,134834400,74.77
2013-09-04,72.89,73.10,71.98,72.63,96854400,72.63
2013-09-03,73.73,74.04,72.24,72.68,81095400,72.68
2013-09-02,73.12,73.89,73.08,73.32,109773000,73.32
2013-08-30,73.99,74.76,72.26,72.55,123780500,72.55
2013-08-29,74.35,74.60,73.39,73.84,72523300,73.84
2013-08-28,72.09,74.23,71.58,73.89,133231600,73.89
2013-08-27,74.59,74.78,72.55,72.63,145254100,72.63
2013-08-26,74.79,74.79,74.79,74.79,000,74.79
2013-08-23,74.71,75.80,73.80,74.79,100828400,74.79
2013-08-22,74.02,75.09,73.94,74.64,100859700,74.64
2013-08-21,73.78,74.68,73.02,73.86,116181300,73.86
2013-08-20,74.34,74.52,72.76,73.80,168994500,73.80
2013-08-19,76.36,76.76,74.67,75.00,89192200,75.00
2013-08-16,75.02,76.40,74.28,76.40,138203700,76.40
2013-08-15,77.06,77.39,70.25,75.05,174023200,75.05
2013-08-14,75.70,77.28,75.70,77.14,142264900,77.14
2013-08-13,75.55,75.98,74.93,75.78,126392100,75.78
2013-08-12,75.17,76.04,75.12,75.49,105906900,75.49
2013-08-09,74.68,75.68,74.30,75.11,164438300,75.11
2013-08-08,73.47,74.26,73.39,74.02,90063900,74.02
2013-08-07,73.80,75.02,73.35,73.47,142745800,73.47
2013-08-06,75.69,76.35,73.64,74.26,179714500,74.26
2013-08-05,74.50,77.36,74.45,75.69,222713800,75.69
2013-08-02,74.24,75.06,72.41,73.73,183834800,73.73
2013-08-01,71.94,74.93,68.75,74.00,421868300,74.00
2013-07-31,67.31,68.94,66.51,68.47,136300900,68.47
2013-07-30,68.60,68.64,66.90,67.65,170236200,67.65
2013-07-29,68.51,69.02,67.93,68.70,72700600,68.70
2013-07-26,69.01,69.37,67.99,68.37,71743000,68.37
2013-07-25,69.28,69.34,68.27,68.78,77258800,68.78
2013-07-24,68.05,69.24,67.78,69.14,105313700,69.14
2013-07-23,69.56,70.04,68.11,68.11,124022700,68.11
2013-07-22,69.28,69.96,68.99,69.21,93588700,69.21
2013-07-19,69.71,69.99,68.76,69.25,169878800,69.25
2013-07-18,69.62,70.51,69.37,70.03,133351000,70.03
2013-07-17,69.24,70.12,68.65,70.00,166088500,70.00
2013-07-16,69.64,69.82,68.75,68.75,152763700,68.75
2013-07-15,68.00,69.53,67.97,69.44,124742800,69.44
2013-07-12,66.57,67.88,66.38,67.73,141592900,67.73
2013-07-11,66.99,67.17,65.77,66.25,124382300,66.25
2013-07-10,66.28,67.25,65.30,66.10,127189400,66.10
2013-07-09,67.60,68.46,66.19,66.35,186250800,66.35
2013-07-08,65.60,67.45,65.60,67.10,171409100,67.10
2013-07-05,66.04,66.52,64.63,64.63,145573500,64.63
2013-07-04,64.24,66.05,63.08,65.86,198636500,65.86
2013-07-03,62.20,63.47,61.68,63.38,115438800,63.38
2013-07-02,64.56,64.94,62.83,62.95,129419800,62.95
2013-07-01,63.85,64.68,62.64,64.03,126816700,64.03
2013-06-28,63.00,64.28,62.58,63.16,215052400,63.16
2013-06-27,62.61,63.52,62.05,62.86,158824400,62.86
2013-06-26,61.42,62.60,61.07,62.48,150111000,62.48
2013-06-25,61.50,61.63,60.38,61.24,111675700,61.24
2013-06-24,60.84,61.73,59.76,60.40,180537500,60.40
2013-06-21,61.93,62.67,60.98,61.00,262715300,61.00
2013-06-20,61.00,62.41,60.57,61.23,178029600,61.23
2013-06-19,62.25,62.46,61.26,61.76,119547700,61.76
2013-06-18,61.07,62.97,61.01,62.18,115472800,62.18
2013-06-17,61.48,61.95,60.84,61.30,87083800,61.30
2013-06-14,61.73,62.97,61.23,61.30,212125400,61.30
2013-06-13,59.41,61.62,58.74,61.32,140498900,61.32
2013-06-12,61.69,61.80,60.01,60.37,92895500,60.37
2013-06-11,61.53,61.78,59.96,61.19,132585300,61.19
2013-06-10,62.14,62.70,61.29,61.56,113227900,61.56
2013-06-07,60.96,62.54,59.92,62.32,156017400,62.32
2013-06-06,61.80,62.25,60.57,60.86,127598700,60.86
2013-06-05,62.31,62.83,61.48,62.01,112803600,62.01
2013-06-04,62.17,62.62,61.89,62.56,257217900,62.56
2013-06-03,62.76,63.02,61.42,61.62,283801100,61.62
2013-05-31,62.48,62.62,61.10,62.11,300754700,62.11
2013-05-30,60.75,62.26,60.50,61.80,97490900,61.80
2013-05-29,61.00,61.39,60.37,60.64,78222700,60.64
2013-05-28,60.60,61.63,60.11,61.32,144986900,61.32
2013-05-27,60.08,60.08,60.08,60.08,000,60.08
2013-05-24,61.20,61.66,59.50,60.08,238789200,60.08
2013-05-23,60.13,61.76,60.13,60.62,242266100,60.62
2013-05-22,62.08,63.50,62.01,62.96,197361000,62.96
2013-05-21,62.00,62.30,61.16,61.53,128384800,61.53
2013-05-20,63.00,63.73,61.87,62.20,223592000,62.20
2013-05-17,60.67,63.36,60.67,62.84,271119900,62.84
2013-05-16,59.41,60.91,59.11,60.91,173605000,60.91
2013-05-15,58.98,60.13,58.64,59.37,145402700,59.37
2013-05-14,58.43,58.91,57.65,58.86,92528800,58.86
2013-05-13,58.93,58.96,57.27,58.09,117643800,58.09
2013-05-10,58.43,59.11,58.04,58.94,213852900,58.94
2013-05-09,57.00,58.16,55.86,58.06,258584600,58.06
2013-05-08,55.20,56.13,54.63,56.08,159321600,56.08
2013-05-07,54.98,55.19,54.26,55.19,156609400,55.19
2013-05-06,54.05,54.05,54.05,54.05,000,54.05
2013-05-03,54.42,54.80,53.50,54.05,138858900,54.05
2013-05-02,53.50,54.48,53.27,54.26,181043500,54.26
2013-05-01,55.24,55.25,53.95,54.20,100011900,54.20
2013-04-30,54.95,57.21,54.11,54.33,346484600,54.33
2013-04-29,53.40,53.85,53.07,53.50,150432700,53.50
2013-04-26,53.00,53.67,52.43,52.91,106937400,52.91
2013-04-25,52.00,53.46,51.47,53.17,166022900,53.17
2013-04-24,51.00,52.13,50.53,51.95,145328000,51.95
2013-04-23,49.39,51.08,48.40,51.08,176026000,51.08
2013-04-22,48.20,49.45,48.01,49.13,181101400,49.13
2013-04-19,47.28,47.59,46.80,47.49,110169400,47.49
2013-04-18,48.50,48.50,46.76,47.08,110277200,47.08
2013-04-17,49.00,49.42,47.87,48.22,140273900,48.22
2013-04-16,48.12,48.87,47.74,48.35,90772500,48.35
2013-04-15,48.69,48.95,48.00,48.55,87357500,48.55
2013-04-12,48.39,48.99,47.81,48.69,107265400,48.69
2013-04-11,48.47,48.96,47.95,48.67,84029800,48.67
2013-04-10,47.21,48.68,47.19,48.36,120602200,48.36
2013-04-09,46.41,47.58,46.41,47.18,106764100,47.18
2013-04-08,47.17,47.60,46.08,46.31,104149400,46.31
2013-04-05,48.47,48.67,46.37,47.01,132048300,47.01
2013-04-04,49.54,49.61,48.09,48.15,122926200,48.15
2013-04-03,49.31,49.81,48.90,49.09,119736300,49.09
2013-04-02,48.47,49.50,48.46,49.38,157763100,49.38
2013-04-01,48.69,48.69,48.69,48.69,000,48.69
2013-03-29,48.69,48.69,48.69,48.69,000,48.69
2013-03-28,49.24,49.69,48.50,48.69,149461300,48.69
